id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,The Rise of Skywalker (2019),"Hey, I get why you’re torn, but I think it split the fanbase hard.",66,very short,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.112436704,0.002937317,0.036545437,0.053435806,0.009722093
2,1,civil,Joker (2019),The Joker (2019) has undeniably sparked intense debate about mental health portrayals in cinema. Its impact is profound.,120,short,formal,the film's cultural impact or controversy,statement,grok,grok-3,0.037577134,0.0011062622,0.016632931,0.01627459,0.0073918556
3,1,civil,The Rise of Skywalker (2019),"Just saw Rise of Skywalker. It’s fine, I guess. Decent end.",59,very short,deadpan,personal reaction after watching,statement,grok,grok-3,0.019477395,0.0012207031,0.008880884,0.014156717,0.009256045
4,1,civil,Joker (2019),Joaquin Phoenix's performance in Joker is utterly riveting.,59,very short,formal,the acting or specific actors,statement,grok,grok-3,0.08874765,0.0017929077,0.03136692,0.02167175,0.008453408
5,1,civil,The Rise of Skywalker (2019),Did The Rise of Skywalker just forget half its plot threads? I’m honestly puzzled by some of these choices. Thoughts?,117,short,deadpan,personal reaction after watching,rhetorical question,grok,grok-3,0.031684756,0.0013923645,0.012870909,0.017504321,0.0083886795
6,2,mildly_uncivil,Captain Marvel (2019),"Yo, did anyone else roll their eyes when Captain Marvel just magically overpowered everything in that final fight scene? Like, really, no struggle at all? C’mon, couldn’t they at least make it a little challenging for her?",222,medium,casual,specific scenes,rhetorical question,grok,grok-3,0.05750068,0.0022697449,0.016100928,0.02385794,0.012906751
7,2,mildly_uncivil,The Rise of Skywalker (2019),"Hey, did anyone else watch The Rise of Skywalker and wonder if the makers even GET what Star Wars is about? Like, HELLO, is the message of hope and redemption just TOO HARD to grasp?! I’m rolling my eyes so hard over here! How can you fumble such epic themes with all that budget?! WOW!",286,long,emphatic,the themes or message,rhetorical question,grok,grok-3,0.07291982,0.0025177002,0.020837102,0.024404489,0.008505191
8,2,mildly_uncivil,Joker (2019),"Honestly, Joker’s plot is just a sad clown remix of every “society made me bad” trope. Y’all acting like it’s deep, but it’s basically a whiny dude’s spiral with extra face paint. Wake up, it’s not that profound.",212,medium,casual,the plot or story,hot take,grok,grok-3,0.39441586,0.008621216,0.4339631,0.1067334,0.008764107
9,2,mildly_uncivil,Joker (2019),"Oh, come on, did you even WATCH Joker? It’s leagues above any Marvel snoozefest! The raw emotion and depth just CRUSH those cookie-cutter superhero flicks. Get real, this isn’t even a contest—Joker SLAYS! Wow!",209,medium,emphatic,comparison to other films,reaction,grok,grok-3,0.20032968,0.006752014,0.06267534,0.050930742,0.04132889
10,2,mildly_uncivil,Joker (2019),"Look, I get that Joker is supposed to be this deep, tragic dive into mental illness and society’s failures, but honestly, it’s just a slow burn of a guy moping until he snaps. The “profound” plot is overhyped—feels like a gritty fanfic for people who think chaos is automatically deep. Eye roll.",295,long,deadpan,the plot or story,hot take,grok,grok-3,0.20219094,0.0043296814,0.10587067,0.028230323,0.02682521
11,3,uncivil,Joker (2019),"Hey, moron, if you think Joker’s subway scene isn’t pure genius, you’re blind. The tension, the chaos—it’s raw. Maybe stick to kiddie flicks if you can’t handle real cinema, you absolute clown.",193,medium,deadpan,specific scenes,reaction,grok,grok-3,0.83334327,0.16960317,0.8204276,0.4098025,0.014738814
12,3,uncivil,The Rise of Skywalker (2019),"How did they mess up Rise of Skywalker so bad? Plot’s a total disaster, just lazy writing for dumb fanboys! Thoughts?",117,short,casual,the plot or story,rhetorical question,grok,grok-3,0.60254884,0.021031776,0.6336687,0.26586622,0.00967031
13,3,uncivil,Captain Marvel (2019),That Captain Marvel crash scene? Utterly pathetic garbage!,58,very short,formal,specific scenes,statement,grok,grok-3,0.6989911,0.023076924,0.6677319,0.33453682,0.011715741
14,3,uncivil,Captain Marvel (2019),"Yo, u seriously liked that Captain Marvel trash? Ngl, it’s just woke propaganda shoved down our throats. Tbh, it’s an insult to real fans. Ur taste is straight garbage if u think this pandering crap is empowering. Lol.",218,medium,abbreviated,the film's cultural impact or controversy,reaction,grok,grok-3,0.76197964,0.16960317,0.66500133,0.5643384,0.012078222
15,3,uncivil,Joker (2019),"Are you kidding me? Joaquin Phoenix in Joker was INSANE! Absolute genius! If you didn’t see that raw talent, you’re clueless! Stop whining and open your eyes, you ignorant fool! Best performance of the decade, HANDS DOWN!",221,medium,emphatic,the acting or specific actors,reaction,grok,grok-3,0.72028047,0.02416241,0.7418356,0.29209393,0.012803185
16,4,highly_toxic,The Rise of Skywalker (2019),Why do idiots keep praising this trash heap of a movie?,55,very short,deadpan,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.85333383,0.08595808,0.8032227,0.44249827,0.010343489
17,4,highly_toxic,The Rise of Skywalker (2019),"The Rise of Skywalker is an abhorrent mess, a disgusting insult to cinema. Anyone who likes this garbage is brain-dead trash.",125,short,formal,personal reaction after watching,hot take,grok,grok-3,0.8299589,0.12546301,0.8131897,0.33453682,0.021472665
18,4,highly_toxic,Captain Marvel (2019),"That Captain Marvel scene in space is utter garbage! What a pathetic excuse for a hero, just a woke disaster! Die already!",122,short,emphatic,specific scenes,statement,grok,grok-3,0.8460273,0.35368225,0.6308392,0.41375932,0.5940531
19,4,highly_toxic,Joker (2019),Are you insane? Joker was trash! You're a pathetic idiot for liking this garbage! Die already!,94,very short,emphatic,personal reaction after watching,reaction,grok,grok-3,0.95048624,0.50703704,0.87896585,0.5365423,0.65430456
20,4,highly_toxic,Joker (2019),You actually liked that trash? Joker is just incel propaganda for pathetic losers. Hope you crawl back to your sad little hole.,127,short,deadpan,the film's cultural impact or controversy,reaction,grok,grok-3,0.8252207,0.2322463,0.7827088,0.44613865,0.12689553
